"";"y";"x";"count"
"1125";25;12;1
"1126";26;12;1
"1127";27;12;0
"1128";28;12;0
"1129";29;12;1
"1130";30;12;0
"1131";31;12;0
"1132";32;12;1
"1133";33;12;2
"1134";34;12;2
"1135";35;12;0
"1136";36;12;0
"1137";37;12;0
"1138";38;12;1
"1139";39;12;3
"1140";40;12;0
"1141";41;12;0
"1142";42;12;1
"1143";43;12;0
"1144";44;12;0
"1145";45;12;0
"1146";46;12;0
"1147";47;12;0
"1148";48;12;2
"1149";49;12;1
"1150";50;12;0
"1151";51;12;0
"1152";52;12;2
"1153";53;12;1
"1154";54;12;1
"1155";55;12;1
"1156";56;12;0
"1157";57;12;0
"1158";58;12;0
"1159";59;12;0
"1160";60;12;2
"1161";61;12;4
"1162";62;12;4
"1163";63;12;2
"1164";64;12;1
"1165";65;12;2
"1166";66;12;1
"1167";67;12;9
"1168";68;12;7
"1169";69;12;9
"1170";70;12;15
"1171";71;12;5
"1172";72;12;3
"1173";73;12;1
"1174";74;12;4
"1175";75;12;1
"1176";76;12;2
"1177";77;12;6
"1178";78;12;3
"1179";79;12;4
"1180";80;12;3
"1181";81;12;0
"1182";82;12;3
"1183";83;12;1
"1184";84;12;2
"1185";85;12;1
"1186";86;12;0
"1187";87;12;2
"1188";88;12;0
"1189";89;12;5
"1190";90;12;1
"1191";91;12;0
"1192";92;12;0
"1193";93;12;2
"1194";94;12;1
"1195";95;12;0
"1196";96;12;0
"1197";97;12;0
"1198";98;12;0
"1199";99;12;2
"1200";100;12;1
"1201";1;13;0
"1202";2;13;0
"1203";3;13;0
"1204";4;13;0
"1205";5;13;0
"1206";6;13;0
"1207";7;13;0
"1208";8;13;1
"1209";9;13;2
"1210";10;13;1
"1211";11;13;0
"1212";12;13;1
"1213";13;13;3
"1214";14;13;1
"1215";15;13;2
"1216";16;13;2
"1217";17;13;1
"1218";18;13;2
"1219";19;13;8
"1220";20;13;0
"1221";21;13;0
"1222";22;13;0
"1223";23;13;0
"1224";24;13;0
"1225";25;13;0
"1226";26;13;2
"1227";27;13;2
"1228";28;13;0
"1229";29;13;0
"1230";30;13;0
